"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"
"DVL1"	0.3196948843361	0.411282511222554	0.131852609759274	0.417760306005596	0.354788336722075	1.03860437418208	0.499250802273319	0.262080279858081	0.210511470856769
"MXRA8"	1.67794801723594	1.55622835111929	1.0185500447237	1.43956866182427	1.33318239170924	1.13179008003379	0.718565566793587	1.4104381140765	1.36816222016079
"AURKAIP1"	3.3443401331406	1.05074168124329	3.49430064964461	0.52779907103153	4.57724273214845	0.76780116403359	0.740789534588538	0.433903425368373	1.00979663512061
"CCNL2"	0.473954804739392	2.03946413679109	0.592974166134103	2.02526466735298	0.482461875821675	2.28214606659582	2.188540317494	2.25734414253895	2.15300451765941
"AL391244.2"	0	0.0102535632587075	0	0.028575426519775	0	0.0343071915091029	0.0275369674882012	0	0
"ANKRD65"	0	0.0335678877936937	0.0143774910691611	0.0287318958825891	0.0276035318120748	0.0562589659160833	0.011585847655372	0.0254097184262683	0
"VWA1"	1.85581773250693	0.900541909714782	1.1256400708443	0.789774103222541	1.68673425831365	1.46232285937508	0.634909263871917	0.791644598263173	0.772667462912828
"ATAD3C"	0.034247737335845	0.169361285644585	0.0434436627698535	0.183827046483518	0.0666715587521257	0.638598353800579	0.109048976491725	0.302803871139019	0
"ATAD3B"	0.131518495223264	0.367278660922111	0.147184734419281	0.293465899778166	0.352592492261217	0.690713487093543	0.479247009367519	0.368407139362227	0.118793062485151
"ATAD3A"	0.173342036525897	0.12030907920437	0.207857934761144	0.141106858070609	0.188399274464978	0.114898780292403	0.223047985438624	0.0795482669130969	0.273724043543433
"TMEM240"	0.0132235251802366	0.0424882742943674	0.0228629332567454	0.0445667579885716	0	0.00721516634478486	0.0440530466172399	0.0300374403824543	0.0825797927247203
"SSU72"	2.02567793842001	0.835504054078038	1.72885679400649	0.656601126899337	2.39571575555912	0.954842384041899	0.706849277624387	0.582784921447034	0.789450605000472
"AL645728.1"	0.0343955351212245	0.0267415665152121	0	0.0262693894105841	0.0243332684446175	0.0452710509072628	0.00365204351921139	0.0688537947446542	0
"FNDC10"	0.081663301385325	0.00999516407887523	0.0858671723621523	0.0131739871274458	0.125416682731089	0	0	0.0649637852755942	0
"AL691432.2"	0.0485841792075845	0.0569581551483196	0.0325712331891638	0.0659106232480596	0.149455547000961	0.0679155336532202	0.0294051682748355	0.0214296048213086	0
"MIB2"	0.381503381317351	0.473805048668963	0.461577069755977	0.420986663617033	0.368477782095549	0.524326881822678	0.418840779838223	0.269401176931891	1.02852958063078
"MMP23B"	1.32547526932152	1.12071945185884	1.16385585487991	1.15283315755268	0.858151096318995	0.229306052835956	0.971737791417147	0.96040860565436	0.624077902581608
"CDK11B"	0.548958154915422	0.532694101389026	0.467477967742219	0.542225097414228	0.573803320008415	0.873647735050607	0.770419972812481	0.747603544224555	0.887846082093755
"FO704657.1"	0.0292722821617077	0.00823203473933003	0	0.0113037828326811	0.0759771725356218	0.0340310765591654	0.0248591703347944	0.00303220504983429	0
"SLC35E2B"	0.0879940705808849	0.506459757650352	0.0809991493198487	0.627262456391912	0	0.413003762260355	0.552785410280777	0.482013403477494	0.0503220611916264
"CDK11A"	0.474742394357659	1.092819531311	0.403412939069154	1.38629628413349	0.550430239199853	2.48071548804945	1.39086159119719	0.892000035004788	0.545815144989619
"SLC35E2A"	0.104886098751885	0.499845309284724	0.0536259103054935	0.474740848877815	0.044770165094019	0.236614431927602	0.482821048578274	0.339133932050202	0
"NADK"	0.33042094687487	0.258727449425622	0.323487721820529	0.190822335722881	0.586575554554293	0.503987269975316	0.223935052240775	0.531806128226209	0.333670724073861
"GNB1"	1.15445161581895	0.777134863956201	1.40355923371716	0.814587706911152	0.714772204144672	0.438588115903443	0.73521277071612	0.943410129558996	1.00211905139908
"TMEM52"	0.0213433838404944	0.00962214608374645	0.0601585406871111	0.00561929950647713	0.0291832943475255	0.00635443828496563	0.0258931765682763	0.00879210391853526	0
"CFAP74"	0	0.0189708062451502	0	0.0117379931805368	0.0572410088695942	0.0644943513724529	0.0387977118221512	0.0155920068897501	0
"GABRD"	0	0.0231162951218248	0	0.0326679215185742	0	0.0342065411248593	0.0184632853218117	0.0129612421508254	0
"PRKCZ"	1.04002313671119	0.395715716881315	0.745547361785886	0.272789371813836	3.37984261401799	2.30646812059428	0.252162321168011	0.457824113635449	0.0657764914819444
"AL590822.2"	0	0.224449441460403	0	0.362206975630535	0.0207934791649339	1.92022086922601	0.209028271387672	0.395730561962929	0
"PRKCZ-AS1"	0	0.00565600622613165	0	0.00748056937584112	0	0.0266817549949039	0.00690258791826232	0.00117441122361318	0
"FAAP20"	0.966750541076578	0.496082078078322	1.05205100587556	0.357466171469208	0.610958662168927	0.321269749467458	0.432090585336028	0.364219102950056	0.0562825383424792
"SKI"	0.0859337332980645	0.171592103788968	0.184015744736147	0.149320180062346	0.250716376809792	0.230911098547312	0.113715272327239	0.202018271938209	0.148643626904497
"AL590822.3"	0.0960992896041016	0.107784941149723	0.0831100516222888	0.110487388577921	0.129328332484196	0.0593069502815561	0.112192418213124	0.0338252789452579	0
